eigenval,var_explained,cumvar_explained
122.796,45.26014966117177,45.26014966117177
37.4209,13.792595316262279,59.05274497743405
14.6856,5.412818445748267,64.46556342318232
11.1989,4.12769056028288,68.5932539834652
9.78336,3.6059508272999237,72.19920481076512
9.44229,3.4802392467522205,75.67944405751734
9.37052,3.4537862601632248,79.13323031768057
9.23037,3.4021297731847135,82.53536009086528
9.13281,3.3661711083996724,85.90153119926495
7.63673,2.8147459422290653,88.71627714149402
7.49003,2.7606752562515586,91.47695239774558
3.37709,1.244727831682193,92.72168022942778
2.96972,1.094579397144655,93.81625962657243
2.83771,1.0459231513648959,94.86218277793733
2.58309,0.9520753118039365,95.81425808974127
2.49641,0.9201267974172271,96.7343848871585
2.44851,0.9024718154245717,97.63685670258307
2.20716,0.8135150324615776,98.45037173504465
2.14426,0.790331350471222,99.24070308551588
2.06006,0.7592969144841324,100.00000000000001
